No,;Time;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
7275;63.989.698;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;138;Change Cipher Spec, Application Data;;;63,989698;63,989968;0,00027;;0,000202;6,8E-05;-0,000134
7276;63.989.968;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2a04:4e42:48::760;TLSv1.2;598;Client Hello;;;63,989968;63,990036;6,8E-05;;-2,8E-05;9,6E-05;0,000124
7277;63.990.036;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;166;Application Data;;;63,990036;63,990132;9,6E-05;;-0,025201;0,025297;0,050498
7278;63.990.132;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;524;Application Data;;;63,990132;64,015429;0,025297;;0,025297;0;-0,025297
7279;64.015.429;2a04:4e42:48::760;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;74;443  >  51511 [ACK] Seq=1 Ack=525 Win=145408 Len=0;;;64,015429;64,015429;0;;-0,000407;0,000407;0,000814
7280;64.015.429;2a04:4e42:48::760;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;230;Server Hello, Change Cipher Spec, Encrypted Handshake Message;;;64,015429;64,015836;0,000407;;0,000233;0,000174;-5,9E-05
7281;64.015.836;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2a04:4e42:48::760;TLSv1.2;125;Change Cipher Spec, Encrypted Handshake Message;;;64,015836;64,01601;0,000174;;-0,013259;0,013433;0,026692
7282;64.016.010;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2a04:4e42:48::760;TLSv1.2;819;Application Data;;;64,01601;64,029443;0,013433;;0,013433;0;-0,013433
7283;64.029.443;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;654;Application Data, Application Data;;;64,029443;64,029443;0;;0;0;0
7284;64.029.443;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;74;443  >  51510 [ACK] Seq=213 Ack=1203 Win=68096 Len=0;;;64,029443;64,029443;0;;-9,4E-05;9,4E-05;0,000188
7285;64.029.443;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;105;Application Data;;;64,029443;64,029537;9,4E-05;;1E-06;9,3E-05;9,2E-05
7286;64.029.537;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TCP;74;51510  >  443 [ACK] Seq=1203 Ack=793 Win=130304 Len=0;;;64,029537;64,02963;9,3E-05;;-3,9E-05;0,000132;0,000171
7287;64.029.630;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TCP;74;51510  >  443 [ACK] Seq=1203 Ack=824 Win=130304 Len=0;;;64,02963;64,029762;0,000132;;-0,003748;0,00388;0,007628
7288;64.029.762;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;105;Application Data;;;64,029762;64,033642;0,00388;;0,00388;0;-0,00388
7289;64.033.642;2a04:4e42:48::760;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;74;443  >  51511 [ACK] Seq=157 Ack=576 Win=145408 Len=0;;;64,033642;64,033642;0;;-0,015291;0,015291;0,030582
7290;64.033.642;2a04:4e42:48::760;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;74;443  >  51511 [ACK] Seq=157 Ack=1321 Win=146944 Len=0;;;64,033642;64,048933;0,015291;;-0,015113;0,030404;0,045517
7291;64.048.933;2a04:4e42:48::760;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;389;Application Data;;;64,048933;64,079337;0,030404;;0,030404;0;-0,030404
7293;64.079.337;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;74;443  >  51510 [ACK] Seq=824 Ack=1234 Win=68096 Len=0;;;64,079337;64,079337;0;;-0,000365;0,000365;0,00073
7294;64.079.337;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;516;Application Data;;;64,079337;64,079702;0,000365;;-0,002239;0,002604;0,004843
7295;64.079.702;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;113;Application Data;;;64,079702;64,082306;0,002604;;-0,009399;0,012003;0,021402
7296;64.082.306;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;587;Application Data;;;64,082306;64,094309;0,012003;;-0,022651;0,034654;0,057305
7297;64.094.309;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2a04:4e42:48::760;TCP;74;51511  >  443 [ACK] Seq=1321 Ack=472 Win=130816 Len=0;;;64,094309;64,128963;0,034654;;-0,015165;0,049819;0,064984
7303;64.128.963;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;74;443  >  51510 [ACK] Seq=1266 Ack=1786 Win=69120 Len=0;;;64,128963;64,178782;0,049819;;0,049819;0;-0,049819
7305;64.178.782;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;179;Application Data;;;64,178782;64,178782;0;;0;0;0
7306;64.178.782;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;599;Application Data;;;64,178782;64,178782;0;;-0,000116;0,000116;0,000232
7307;64.178.782;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;194;Application Data;;;64,178782;64,178898;0,000116;;-0,005332;0,005448;0,01078
7308;64.178.898;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TCP;74;51510  >  443 [ACK] Seq=1786 Ack=2016 Win=131072 Len=0;;;64,178898;64,184346;0,005448;;0,000925;0,004523;0,003598
7309;64.184.346;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TLSv1.2;848;Application Data;;;64,184346;64,188869;0,004523;;0,004453;7E-05;-0,004383
7310;64.188.869;2600:1901:1:916::;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.3;113;Application Data;;;64,188869;64,188939;7E-05;;-0,000138;0,000208;0,000346
7311;64.188.939;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TCP;74;51510  >  443 [ACK] Seq=1786 Ack=2055 Win=131072 Len=0;;;64,188939;64,189147;0,000208;;-0,011332;0,01154;0,022872
7312;64.189.147;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2600:1901:1:916::;TLSv1.3;113;Application Data;;;64,189147;64,200687;0,01154;;0,01154;0;-0,01154
7313;64.200.687;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;[TCP Previous segment not captured] 443  >  51467 [ACK] Seq=980978 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,200687;64,200687;0;;0;0;0
7314;64.200.687;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=982390 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,200687;64,200687;0;;0;0;0
7315;64.200.687;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=983802 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,200687;64,200687;0;;-6,2E-05;6,2E-05;0,000124
7316;64.200.687;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=985214 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,200687;64,200749;6,2E-05;;7E-06;5,5E-05;4,8E-05
7317;64.200.749;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#1] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=982390;;;64,200749;64,200804;5,5E-05;;3,1E-05;2,4E-05;-7E-06
7318;64.200.804;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#2] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=983802;;;64,200804;64,200828;2,4E-05;;2E-06;2,2E-05;2E-05
7319;64.200.828;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#3] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=985214;;;64,200828;64,20085;2,2E-05;;-0,000118;0,00014;0,000258
7320;64.200.850;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#4] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=986626;;;64,20085;64,20099;0,00014;;0,00014;0;-0,00014
7321;64.200.990;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=986626 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,20099;64,20099;0;;-3,9E-05;3,9E-05;7,8E-05
7322;64.200.990;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=988038 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,20099;64,201029;3,9E-05;;-0,00014;0,000179;0,000319
7323;64.201.029;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#5] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=988038;;;64,201029;64,201208;0,000179;;6,9E-05;0,00011;4,1E-05
7324;64.201.208;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#6] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=989450;;;64,201208;64,201318;0,00011;;0,00011;0;-0,00011
7325;64.201.318;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=989450 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201318;64,201318;0;;-1,4E-05;1,4E-05;2,8E-05
7326;64.201.318;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=990862 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201318;64,201332;1,4E-05;;-4E-06;1,8E-05;2,2E-05
7327;64.201.332;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#7] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=990862;;;64,201332;64,20135;1,8E-05;;-0,000205;0,000223;0,000428
7328;64.201.350;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#8] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=992274;;;64,20135;64,201573;0,000223;;0,000223;0;-0,000223
7329;64.201.573;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=992274 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201573;64,201573;0;;0;0;0
7330;64.201.573;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=993686 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201573;64,201573;0;;0;0;0
7331;64.201.573;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;955;443  >  51467 [PSH, ACK] Seq=995098 Ack=5737 Win=454 Len=881 [TCP segment of a reassembled PDU];;;64,201573;64,201573;0;;-1,7E-05;1,7E-05;3,4E-05
7332;64.201.573;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;[TCP Fast Retransmission] 443  >  51467 [ACK] Seq=979566 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201573;64,20159;1,7E-05;;-8,7E-05;0,000104;0,000191
7333;64.201.590;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#9] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=993686;;;64,20159;64,201694;0,000104;;9,1E-05;1,3E-05;-7,8E-05
7334;64.201.694;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#10] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=995098;;;64,201694;64,201707;1,3E-05;;-1E-05;2,3E-05;3,3E-05
7335;64.201.707;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;86;[TCP Dup ACK 6928#11] 51467  >  443 [ACK] Seq=5737 Ack=979566 Win=3083 Len=0 SLE=980978 SRE=995979;;;64,201707;64,20173;2,3E-05;;-3,8E-05;6,1E-05;9,9E-05
7336;64.201.730;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=995979 Win=3088 Len=0;;;64,20173;64,201791;6,1E-05;;6,1E-05;0;-6,1E-05
7337;64.201.791;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=995979 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201791;64,201791;0;;-1,5E-05;1,5E-05;3E-05
7338;64.201.791;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=997391 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201791;64,201806;1,5E-05;;-0,00012;0,000135;0,000255
7339;64.201.806;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=998803 Win=3088 Len=0;;;64,201806;64,201941;0,000135;;0,000135;0;-0,000135
7340;64.201.941;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=998803 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201941;64,201941;0;;-3,1E-05;3,1E-05;6,2E-05
7341;64.201.941;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1000215 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,201941;64,201972;3,1E-05;;-0,00012;0,000151;0,000271
7342;64.201.972;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1001627 Win=3088 Len=0;;;64,201972;64,202123;0,000151;;0,000151;0;-0,000151
7343;64.202.123;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1001627 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,202123;64,202123;0;;-2,1E-05;2,1E-05;4,2E-05
7344;64.202.123;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1003039 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,202123;64,202144;2,1E-05;;-0,000585;0,000606;0,001191
7345;64.202.144;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1004451 Win=3088 Len=0;;;64,202144;64,20275;0,000606;;0,000606;0;-0,000606
7346;64.202.750;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1004451 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,20275;64,20275;0;;0;0;0
7347;64.202.750;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1005863 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,20275;64,20275;0;;0;0;0
7348;64.202.750;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1007275 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,20275;64,20275;0;;-4E-05;4E-05;8E-05
7349;64.202.750;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1008687 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,20275;64,20279;4E-05;;-0,000971;0,001011;0,001982
7350;64.202.790;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1010099 Win=3088 Len=0;;;64,20279;64,203801;0,001011;;0,001011;0;-0,001011
7351;64.203.801;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1010099 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,203801;64,203801;0;;0;0;0
7352;64.203.801;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;955;Application Data;;;64,203801;64,203801;0;;0;0;0
7353;64.203.801;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;1486;Application Data;;;64,203801;64,203801;0;;-3,8E-05;3,8E-05;7,6E-05
7354;64.203.801;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1013804 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,203801;64,203839;3,8E-05;;-0,000209;0,000247;0,000456
7355;64.203.839;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1015216 Win=3088 Len=0;;;64,203839;64,204086;0,000247;;0,000247;0;-0,000247
7356;64.204.086;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1015216 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204086;64,204086;0;;-1,8E-05;1,8E-05;3,6E-05
7357;64.204.086;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1016628 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204086;64,204104;1,8E-05;;-7,6E-05;9,4E-05;0,00017
7358;64.204.104;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1018040 Win=3088 Len=0;;;64,204104;64,204198;9,4E-05;;9,4E-05;0;-9,4E-05
7359;64.204.198;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1018040 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204198;64,204198;0;;0;0;0
7360;64.204.198;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1019452 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204198;64,204198;0;;0;0;0
7361;64.204.198;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1020864 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204198;64,204198;0;;-2,3E-05;2,3E-05;4,6E-05
7362;64.204.198;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1022276 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204198;64,204221;2,3E-05;;-0,000229;0,000252;0,000481
7363;64.204.221;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1023688 Win=3088 Len=0;;;64,204221;64,204473;0,000252;;0,000252;0;-0,000252
7364;64.204.473;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1023688 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204473;64,204473;0;;-1,6E-05;1,6E-05;3,2E-05
7365;64.204.473;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1025100 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204473;64,204489;1,6E-05;;-1,7E-05;3,3E-05;5E-05
7366;64.204.489;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1026512 Win=3088 Len=0;;;64,204489;64,204522;3,3E-05;;3,3E-05;0;-3,3E-05
7367;64.204.522;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1026512 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204522;64,204522;0;;-8E-06;8E-06;1,6E-05
7368;64.204.522;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1027924 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204522;64,20453;8E-06;;-0,000271;0,000279;0,00055
7369;64.204.530;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1029336 Win=3088 Len=0;;;64,20453;64,204809;0,000279;;0,000279;0;-0,000279
7370;64.204.809;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TLSv1.2;819;Application Data;;;64,204809;64,204809;0;;0;0;0
7371;64.204.809;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1030081 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204809;64,204809;0;;0;0;0
7372;64.204.809;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1031493 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204809;64,204809;0;;-1,9E-05;1,9E-05;3,8E-05
7373;64.204.809;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1032905 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,204809;64,204828;1,9E-05;;-0,000295;0,000314;0,000609
7374;64.204.828;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1034317 Win=3088 Len=0;;;64,204828;64,205142;0,000314;;0,000314;0;-0,000314
7375;64.205.142;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1034317 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,205142;64,205142;0;;0;0;0
7376;64.205.142;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1035729 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,205142;64,205142;0;;0;0;0
7377;64.205.142;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1037141 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,205142;64,205142;0;;-1,9E-05;1,9E-05;3,8E-05
7378;64.205.142;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1038553 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,205142;64,205161;1,9E-05;;-0,000934;0,000953;0,001887
7379;64.205.161;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1039965 Win=3088 Len=0;;;64,205161;64,206114;0,000953;;0,000953;0;-0,000953
7380;64.206.114;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1039965 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,206114;64,206114;0;;0;0;0
7381;64.206.114;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1041377 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,206114;64,206114;0;;0;0;0
7382;64.206.114;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1042789 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,206114;64,206114;0;;-1,9E-05;1,9E-05;3,8E-05
7383;64.206.114;2001:4488:f931::7662:5f5a;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;TCP;1486;443  >  51467 [ACK] Seq=1044201 Ack=5737 Win=454 Len=1412 [TCP segment of a reassembled PDU];;;64,206114;64,206133;1,9E-05;;-0,000315;0,000334;0,000649
7384;64.206.133;2001:448a:10a9:21c4:dc8a:ca05:995f:f94;2001:4488:f931::7662:5f5a;TCP;74;51467  >  443 [ACK] Seq=5737 Ack=1045613 Win=3088 Len=0;;;64,206133;64,206467;0,000334;;0,000334;0;-0,000334
